1,0,مد و پوشاک
2,0,کتاب، لوازم تحریر و هنر
3,0,کارت هدیه
4,0,کمک های خیریه
5,0,کالای دیجیتال
6,0,کالاهای سوپرمارکتی
7,0,خانه و آشپزخانه
8,0,لوازم خانگی برقی
9,0,موبایل
10,0,اسباب بازی، کودک و نوزاد
11,0,زیبایی و سلامت
12,0,محصولات بومی و محلی
13,0,ورزش و سفر
14,0,خودرو و موتورسیکلت
15,0,ابزار آلات و تجهیزات
16,5,لوازم جانبی کالای دیجیتال
17,8,تهویه، سرمایش و گرمایش
18,3,گیفت کارت اپلیکیشن و نرم افزار
19,6,مادر و کودک
20,10,خواب کودک
21,10,ملزومات اتاق کودک
22,7,حمام و سرویس بهداشتی
23,11,لوازم آرایشی
24,7,خواب
25,6,نوشیدنی‌های سرد
26,2,کتاب
27,3,جعبه کارت هدیه دیجی کالا
28,6,صبحانه
29,8,لوازم توکار
30,5,دوربین
31,14,لوازم جانبی خودرو
32,14,لوازم یدکی خودرو
33,14,سیستم صوتی و تصویری خودرو
34,2,فرش و گلیم
35,14,اتومبیل
36,8,خردکن و غذاساز
37,8,لوازم شست و شو و نظافت
38,7,شستشو و نظافت
39,10,شوینده لباس کودک و نوزاد
40,5,کامپیوتر و تجهیزات جانبی
41,6,افزودنی ها
42,15,یراق آلات
43,14,لوازم مصرفی خودرو
44,8,لوازم پخت و پز
45,6,لبنیات
46,7,دکوراسیون
47,6,مکمل غذایی و دارویی
48,3,کارت هدیه دیجی کالا
49,3,کارت هدیه دیجی استایل
50,2,مترجم و کتاب صوتی
51,10,تغذیه و رشد کودک
52,4,کمک‌های مالی خیریه
53,6,خشکبار و شیرینی
54,8,نوشیدنی ساز
55,3,کارت هدیه الکترونیکی
56,11,لوازم شخصی برقی
57,10,سرگرمی و آموزشی
58,2,فیلم
59,6,فینگر فود و پذیرایی
60,15,لوازم و مصالح ساختمانی
61,6,قنادی
62,6,فرآورده‌های منجمد و یخچالی
63,6,میوه و سبزیجات
64,12,بازی و سرگرمی های بومی محلی
65,5,کنسول بازی
66,3,گیفت کارت بازی
67,15,باغبانی و کشاورزی
68,1,طلا و جواهرات
69,6,کالاهای اساسی و خوار و بار
70,2,صنایع دستی
71,5,هدفون، هدست و هندزفری
72,10,بهداشت و حمام
73,11,ابزار سلامت
74,12,عطاری
75,8,لوازم یدکی خانگی
76,6,بهداشت خانگی
77,7,آشپزخانه
78,15,تجهیزات صنعتی و انبارداری
79,5,سرویس‌های اینترنت و سیم‌کارت
80,1,بچگانه
81,5,لپ تاپ
82,7,روشنایی و الکتریکی
83,15,ابزار دقیق و  اندازه گیری
84,1,مردانه
85,5,ماینینگ
86,9,گوشی موبایل
87,14,لوازم جانبی موتور سیکلت
88,14,لوازم مصرفی موتور سیکلت
89,14,لوازم یدکی موتور سیکلت
90,14,موتور سیکلت
91,14,موتورسیکلت اقساطی
92,14,تجهیزات ایمنی موتورسیکلت
93,3,گیفت کارت فیلم و سریال
94,2,محتوای آموزشی
95,2,موسیقی
96,2,آلات موسیقی
97,6,گل طبیعی
98,15,ابزار غیر برقی
99,5,ماشین های اداری
100,14,قطعات و تجهیزات آفرود
101,3,گیفت کارت فروشگاه آنلاین
102,11,عطر و ادکلن
103,10,پستانک و لوازم شیردهی
104,11,لوازم بهداشتی
105,6,بهداشت شخصی
106,7,اکسسوری لوازم شخصی
107,6,غذا و مکمل حیوانات خانگی
108,7,پت شاپ
109,15,ابزار برقی و شارژی
110,10,گردش و سفر
111,15,تجهیزات تردد، حفاظت و امنیت
112,6,مواد پروتئینی و تخم مرغ
113,2,مجلات، نقشه و نشانگر کتاب
114,6,کنسرو و غذای آماده
115,8,یخچال و فریزر
116,2,محصولات مذهبی
117,12,پوشاک بومی و محلی
118,12,مواد غذایی ارگانیک
119,12,خانه و کاشانه
120,10,ایمنی و مراقبت
121,15,ابزار ایمنی
122,6,شور و ترشیجات
123,5,تجهیزات امنیتی و نظارتی
124,7,سرو و پذیرایی
125,8,چرخ خیاطی
126,8,لوازم مکمل آشپزخانه
127,6,تنقلات
128,2,نرم افزار و بازی
129,8,لوازم ویژه خانگی برقی
130,13,کفش ورزشی
131,13,لوازم ورزشی
132,13,پوشاک ورزشی
133,2,لوازم تحریر
134,5,تبلت و کتابخوان
135,13,لوازم سفر و کمپینگ
136,1,زنانه و مردانه
137,14,خودرو کارکرده
138,7,صوتی و تصویری
139,6,نوشیدنی‌های گرم
140,5,ساعت و مچ بند هوشمند
141,1,زنانه
142,7,آشپرخانه صنعتی و کافی شاپ
143,1,زیبایی و سلامت
144,99,پرینتر سه بعدی
145,99,اسکنر سه بعدی
146,127,انواع بار و تنقلات مغذی
147,132,اکسسوری ورزشی
148,34,لوازم جانبی فرش و ابزار فرش
149,131,ورزش های هوازی و تناسب اندام
150,67,ادوات کشاورزی
151,17,کولر گازی
152,78,دستگاه تولید بالشتک هوا
153,44,سرخ کن
154,40,کامپیوترهای All-in-One
155,138,آمپلی فایر
156,58,پویا نمایی (انیمیشن)
157,104,ضد تعریق
158,59,پیش غذا
159,26,کتاب علوم کاربردی، تکنولوژی و مهندسی
160,108,آبزیان
161,70,دست سازه های هنری
162,70,ابزار کار هنری و دستی
163,106,زیر سیگاری
164,40,کیس های اسمبل شده
165,50,کتاب صوتی
166,138,گیرنده صوتی و تصویری
167,20,ملحفه کودک و نوزاد
168,72,حمام کودک و شست و شو
169,20,تختخواب کودک و نوزاد
170,103,ملزومات شیشه شیر
171,103,شیشه شیر، سرلاک و داروخوری
172,110,آغوشی
173,72,لوازم تعویض
174,80,نوزاد
175,20,کوسن کودک
176,21,چراغ خواب کودک و نوزاد
